City,Latitude,Longitude,Maximum Temp,Humidity,Clouds,Wind Speed,Country,Date
sioux lookout,50.1,-91.92,69.8,49,40,10.29,CA,1597077060
asfi,32.3,-9.24,73.63,74,48,20.54,MA,1597077158
tateyama,34.98,139.87,84.0,89,5,4.0,JP,1597077158
vostok,46.49,135.88,60.4,100,83,3.69,RU,1597077158
rikitea,-23.12,-134.97,69.84,74,47,19.33,PF,1597077051
ancud,-41.87,-73.82,46.99,81,40,5.82,CL,1597077158
ribeira grande,38.52,-28.7,77.0,57,20,18.34,PT,1597077158
west wendover,40.74,-114.07,80.6,21,1,3.04,US,1597077159
juneau,58.3,-134.42,53.01,87,90,12.75,US,1597077159
punta arenas,-53.15,-70.92,32.0,74,40,20.8,CL,1597077126
ponta do sol,32.67,-17.1,77.0,61,40,17.22,PT,1597077048
pineville,31.32,-92.43,90.0,66,20,4.7,US,1597077159
vaini,-21.2,-175.2,71.6,78,40,5.82,TO,1597077159
port lincoln,-34.73,135.87,53.76,79,100,19.24,AU,1597077159
santa cruz,-17.8,-63.17,87.8,48,20,23.04,BO,1597077159
nicolas bravo,18.45,-88.92,80.6,88,75,5.82,MX,1597077159
san carlos de bariloche,-41.15,-71.31,35.6,55,75,18.34,AR,1597077159
shobara,34.85,133.02,77.0,94,43,3.65,JP,1597077159
nanakuli,21.39,-158.15,78.01,73,20,4.7,US,1597077159
georgetown,5.41,100.34,84.2,88,20,4.85,MY,1597076920
ushuaia,-54.8,-68.3,33.8,74,75,3.36,AR,1597076897
port alfred,-33.59,26.89,58.46,74,0,11.32,ZA,1597077159
ocampo,21.65,-101.5,62.1,77,100,5.59,MX,1597077159
aklavik,68.22,-135.01,44.6,100,90,4.7,CA,1597077159
hobart,-42.88,147.33,37.99,93,0,8.05,AU,1597076947
qaanaaq,77.48,-69.36,42.62,59,61,7.16,GL,1597077160
ambilobe,-13.2,49.05,68.85,79,71,3.06,MG,1597077160
jamestown,42.1,-79.24,82.99,65,40,12.75,US,1597076891
krapivinskiy,55.0,86.81,71.6,56,0,6.71,RU,1597077160
carnarvon,-24.87,113.63,62.6,100,75,12.75,AU,1597077160
loandjili,-4.76,11.86,78.8,74,40,9.17,CG,1597077160
imbituba,-28.24,-48.67,78.8,50,0,10.29,BR,1597077160
palora,-1.7,-77.93,78.8,61,20,4.7,EC,1597077160
sorland,67.67,12.69,57.2,71,63,6.93,NO,1597077160
bredasdorp,-34.53,20.04,60.8,67,0,5.82,ZA,1597077160
mataura,-46.19,168.86,46.99,90,83,10.0,NZ,1597077160
albany,42.6,-73.97,88.0,61,3,2.24,US,1597077042
new norfolk,-42.78,147.06,35.01,90,0,3.06,AU,1597077160
caibarien,22.52,-79.47,89.6,62,75,11.41,CU,1597077161
luanda,-8.84,13.23,77.0,69,20,8.05,AO,1597077056
nanortalik,60.14,-45.24,43.61,73,1,16.26,GL,1597077161
cape town,-33.93,18.42,57.99,82,40,14.99,ZA,1597076997
santiago,-33.46,-70.65,55.0,81,76,4.38,CL,1597077125
provideniya,64.38,-173.3,49.51,92,97,6.4,RU,1597077161
yellowknife,62.46,-114.35,64.4,77,75,11.41,CA,1597077096
gorom-gorom,14.44,-0.24,86.16,59,97,1.72,BF,1597077161
lingyuan,41.24,119.4,70.09,39,0,4.43,CN,1597077161
vorukh,39.85,70.58,71.28,42,32,2.93,TJ,1597077161
norman wells,65.28,-126.83,62.6,72,20,5.82,CA,1597077161
hithadhoo,-0.6,73.08,82.24,81,97,15.77,MV,1597077161
severo-kurilsk,50.68,156.12,50.36,90,45,3.24,RU,1597077161
bilibino,68.05,166.44,49.06,76,97,3.06,RU,1597077161
tuatapere,-46.13,167.68,46.99,90,66,10.0,NZ,1597077161
puerto ayora,-0.74,-90.35,73.4,73,40,16.11,EC,1597077054
les cayes,18.2,-73.75,88.54,62,73,8.21,HT,1597077162
torbay,47.67,-52.73,82.99,57,20,11.41,CA,1597077162
zaozerne,45.16,33.28,80.46,45,5,10.47,UA,1597077162
bluff,-46.6,168.33,46.99,90,93,10.0,NZ,1597077058
kaitangata,-46.28,169.85,48.99,63,79,13.0,NZ,1597077162
san cristobal,7.77,-72.22,89.6,43,40,20.8,VE,1597077162
slave lake,55.28,-114.77,60.8,55,75,26.4,CA,1597077162
bengkulu,-3.8,102.27,78.22,89,68,5.61,ID,1597077162
mahina,-17.51,-149.49,73.4,73,75,3.36,PF,1597077162
naze,28.37,129.48,84.2,89,75,6.93,JP,1597077162
rudiskes,54.52,24.83,78.8,50,75,12.75,LT,1597077162
changping,40.22,116.22,86.0,88,0,2.24,CN,1597077162
korla,41.76,86.15,72.7,49,0,17.02,CN,1597077162
rawson,-43.3,-65.1,44.94,54,55,36.48,AR,1597077050
sagua la grande,22.81,-80.08,89.6,62,75,11.41,CU,1597077163
coquimbo,-29.95,-71.34,57.2,76,100,6.93,CL,1597077096
lebyazhye,55.27,66.49,61.02,90,89,1.39,RU,1597077163
dikson,73.51,80.55,40.84,94,73,16.62,RU,1597077076
tabas,33.6,56.92,102.2,12,0,6.93,IR,1597077163
umm lajj,25.02,37.27,90.43,47,43,8.72,SA,1597077163
avera,33.19,-82.53,86.0,70,1,6.93,US,1597077163
busselton,-33.65,115.33,55.99,78,98,19.86,AU,1597077163
bethel,41.37,-73.41,91.0,51,1,4.07,US,1597077163
narsaq,60.92,-46.05,53.6,54,20,9.17,GL,1597077163
cidreira,-30.18,-50.21,77.36,47,0,7.52,BR,1597077067
parsabad,39.65,47.92,80.6,61,20,11.41,IR,1597077163
lompoc,34.64,-120.46,55.99,100,0,3.36,US,1597076985
constitucion,-35.33,-72.42,53.78,58,2,13.65,CL,1597077164
kapaa,22.08,-159.32,78.8,69,1,19.46,US,1597077058
humberto de campos,-2.6,-43.46,91.26,46,64,2.21,BR,1597077049
tsiroanomandidy,-18.77,46.03,65.19,77,54,5.37,MG,1597077164
tiksi,71.69,128.87,37.24,86,74,6.02,RU,1597077061
mabaruma,8.2,-59.78,83.21,89,71,4.07,GY,1597077164
vila franca do campo,37.72,-25.43,73.4,83,40,8.05,PT,1597077081
iqaluit,63.75,-68.51,39.2,86,75,8.05,CA,1597077164
airai,-8.93,125.41,58.71,100,81,1.45,TL,1597077164
japura,-0.32,102.35,76.39,94,43,1.95,ID,1597077164
talnakh,69.49,88.4,51.8,100,90,6.71,RU,1597077164
senneterre,48.38,-77.23,78.8,69,75,11.41,CA,1597077164
baghdad,33.34,44.4,102.2,20,0,16.11,IQ,1597076993
kenai,60.55,-151.26,55.0,81,90,9.17,US,1597077165
alofi,-19.06,-169.92,69.8,83,40,6.93,NU,1597077085
daoukro,7.06,-3.96,81.01,74,76,4.03,CI,1597077165
lumby,50.25,-118.97,60.01,77,0,3.36,CA,1597077165
surt,31.21,16.59,81.23,66,0,14.9,LY,1597077165
cabo san lucas,22.89,-109.91,84.0,74,75,17.22,MX,1597077003
vao,-22.67,167.48,69.58,87,100,7.47,NC,1597077108
chuy,-33.7,-53.46,71.22,68,18,9.62,UY,1597077165
axim,4.87,-2.24,76.86,78,88,9.78,GH,1597077165
buala,-8.14,159.59,80.64,78,93,6.87,SB,1597077165
suhbaatar,50.23,106.21,56.93,82,0,2.3,MN,1597077165
aden,12.78,45.04,91.4,59,24,7.67,YE,1597077115
buin,-33.73,-70.75,55.0,81,57,7.99,CL,1597077165
aykhal,66.0,111.5,50.0,100,90,4.47,RU,1597077165
lamlash,55.53,-5.13,69.8,68,20,5.82,GB,1597077165
faanui,-16.48,-151.75,77.72,66,2,8.23,PF,1597077166
kommunisticheskiy,61.68,64.48,54.07,88,100,13.38,RU,1597077166
sao joao da barra,-21.64,-41.05,80.6,54,20,16.11,BR,1597077166
tasiilaq,65.61,-37.64,41.0,86,90,14.99,GL,1597077166
lebu,-37.62,-73.65,48.88,60,28,16.37,CL,1597077166
karasburg,-28.02,18.75,60.39,30,0,8.46,NA,1597077166
hami,42.8,93.45,82.92,25,92,8.28,CN,1597077037
mersing,2.43,103.84,78.8,94,6,5.82,MY,1597077166
beloha,-25.17,45.05,64.38,72,0,7.76,MG,1597077166
thompson,55.74,-97.86,59.0,93,75,10.29,CA,1597077069
gemena,3.25,19.77,74.44,88,92,0.69,CD,1597077166
hilo,19.73,-155.09,71.6,78,90,4.7,US,1597077057
vanavara,60.34,102.28,60.37,64,3,2.19,RU,1597077166
kashi,39.45,75.98,87.01,68,60,17.6,CN,1597077166
jiaojiang,28.68,121.44,82.0,59,0,5.3,CN,1597077167
praia da vitoria,38.73,-27.07,77.0,65,20,13.51,PT,1597077167
fairbanks,64.84,-147.72,53.6,87,1,4.7,US,1597077167
butaritari,3.07,172.79,82.15,77,97,14.94,KI,1597077167
east london,-33.02,27.91,63.27,60,0,15.93,ZA,1597077111
mata de sao joao,-12.53,-38.3,80.6,65,40,9.17,BR,1597077167
weifang,36.71,119.1,77.22,87,0,6.29,CN,1597077167
kodiak,57.79,-152.41,52.11,76,0,7.52,US,1597077167
diffa,13.32,12.61,86.86,56,67,10.8,NE,1597077167
havre-saint-pierre,50.23,-63.6,75.2,64,1,8.05,CA,1597077167
lagoa,39.05,-27.98,70.68,70,58,12.39,PT,1597077167
wasilla,61.58,-149.44,55.4,93,20,2.98,US,1597077167
sandakan,5.84,118.12,80.6,83,20,4.7,MY,1597077168
riviera beach,26.78,-80.06,91.99,66,40,11.41,US,1597077168
waingapu,-9.66,120.26,76.05,81,10,0.45,ID,1597077100
mahebourg,-20.41,57.7,68.0,68,40,9.17,MU,1597077168
ahipara,-35.17,173.17,56.57,94,100,12.53,NZ,1597077168
champerico,14.3,-91.92,84.2,70,75,4.7,GT,1597077168
portland,45.52,-122.68,72.0,55,1,3.74,US,1597077168
walvis bay,-22.96,14.51,59.0,72,0,6.93,NA,1597077168
samarai,-10.62,150.67,78.03,89,37,9.57,PG,1597077109
kruisfontein,-34.0,24.73,59.0,59,0,0.69,ZA,1597077065
pisco,-13.7,-76.22,62.01,87,90,5.82,PE,1597077168
saint george,37.1,-113.58,86.0,14,1,5.82,US,1597076979
salinopolis,-0.61,-47.36,83.84,72,29,12.8,BR,1597077168
soe,-9.86,124.28,63.72,100,63,3.58,ID,1597077168
west point,33.61,-88.65,89.6,66,1,4.7,US,1597076923
wadi musa,30.32,35.48,69.4,59,96,9.62,JO,1597077168
nalgonda,17.05,79.27,75.51,84,99,9.86,IN,1597077168
saint-pierre,-21.34,55.48,66.2,63,75,4.7,RE,1597077169
castro,-24.79,-50.01,73.51,44,0,8.63,BR,1597077047
homer,59.64,-151.55,54.0,93,40,4.7,US,1597077169
kondinskoye,59.65,67.41,67.64,83,7,10.33,RU,1597077124
porto novo,6.5,2.6,77.0,88,40,13.87,BJ,1597077169
saskylakh,71.92,114.08,39.36,74,19,6.02,RU,1597077048
te anau,-45.42,167.72,39.67,86,32,4.23,NZ,1597077169
mallaig,54.22,-111.37,60.28,59,61,22.06,CA,1597077169
mogadishu,2.04,45.34,75.79,77,40,17.81,SO,1597077169
quelimane,-17.88,36.89,77.0,47,20,4.7,MZ,1597077169
hermanus,-34.42,19.23,57.0,79,5,13.8,ZA,1597077169
challapata,-18.9,-66.77,57.45,22,0,8.63,BO,1597077169
trujillo,-8.12,-79.03,67.05,65,39,8.61,PE,1597077169
asyut,27.18,31.18,102.2,22,100,16.11,EG,1597077169
khatanga,71.97,102.5,42.17,74,32,6.33,RU,1597077169
shirochanka,46.65,38.4,78.98,41,0,8.39,RU,1597077169
marietta,33.95,-84.55,91.99,55,20,6.93,US,1597077170
sao sebastiao do paraiso,-20.92,-46.99,78.3,32,0,5.61,BR,1597077170
ocara,-4.49,-38.6,92.05,37,3,8.23,BR,1597077170
tigre,-34.43,-58.58,62.6,31,0,19.46,AR,1597077170
radomsko,51.07,19.44,84.0,54,11,55.99,PL,1597077170
saldanha,-33.01,17.94,62.6,59,0,6.93,ZA,1597077097
alenquer,-1.94,-54.74,89.6,66,20,11.41,BR,1597077170
mocajuba,-2.58,-49.51,94.91,36,72,3.42,BR,1597077170
badarpur,24.9,92.6,78.69,91,100,1.32,IN,1597077170
grand gaube,-20.01,57.66,66.99,70,78,3.0,MU,1597077170
oksbol,55.63,8.29,84.2,39,8,6.93,DK,1597077170
kitimat,54.05,-128.65,55.4,87,75,11.41,CA,1597076996
baza,37.49,-2.77,88.0,31,97,6.17,ES,1597077170
santo tomas,14.11,121.14,81.0,78,100,4.7,PH,1597077171
brae,60.4,-1.35,59.0,82,20,8.05,GB,1597077171
northam,51.03,-4.22,73.0,84,82,3.0,GB,1597077171
whitianga,-36.83,175.7,51.01,97,100,1.01,NZ,1597077171
adrar,20.5,-10.07,108.09,13,42,1.74,MR,1597077171
sitka,57.05,-135.33,53.6,87,90,11.41,US,1597077171
half moon bay,37.46,-122.43,69.01,88,90,5.64,US,1597077171
clyde river,70.47,-68.59,42.8,81,90,10.29,CA,1597077171
cockburn town,21.46,-71.14,87.8,62,40,9.17,TC,1597077010
karsun,54.2,46.98,57.76,69,41,5.41,RU,1597077171
avarua,-21.21,-159.78,71.6,73,0,6.93,CK,1597077047
shitanjing,39.23,106.34,75.6,45,50,6.24,CN,1597077171
myitkyina,25.38,97.4,74.05,96,100,1.61,MM,1597077171
henties bay,-22.12,14.28,55.99,86,0,3.0,NA,1597077171
aswan,24.09,32.91,102.09,14,81,9.86,EG,1597077090
terney,45.05,136.61,64.31,92,88,1.41,RU,1597077171
poum,-20.23,164.02,72.54,81,100,13.2,NC,1597077079
otane,-39.88,176.63,46.0,78,25,2.37,NZ,1597077171
ramhormoz,31.28,49.6,105.8,13,0,18.34,IR,1597077172
saint-philippe,-21.36,55.77,66.2,63,75,4.7,RE,1597077172
taltal,-25.4,-70.48,62.67,61,23,5.08,CL,1597077172
barrow,71.29,-156.79,39.2,93,90,8.05,US,1597076889
atuona,-9.8,-139.03,78.85,68,4,20.45,PF,1597077172
lorengau,-2.02,147.27,80.78,74,85,4.23,PG,1597077172
siyabuswa,-25.11,29.04,56.73,34,0,3.27,ZA,1597077172
sur,22.57,59.53,84.38,74,2,9.46,OM,1597077099
ust-uda,54.17,103.03,63.05,66,99,3.69,RU,1597077172
ginda,30.69,78.49,67.82,89,96,0.85,IN,1597077172
wanning,18.8,110.4,83.28,83,57,9.44,CN,1597077172
van,38.49,43.38,75.2,44,20,4.7,TR,1597077172
college,64.86,-147.8,53.6,76,90,3.36,US,1597077005
zaterechnyy,44.79,45.21,80.1,28,78,8.61,RU,1597077172
nouadhibou,20.93,-17.03,78.8,65,0,20.8,MR,1597076959
laguna,38.42,-121.42,75.99,52,0,1.01,US,1597077172
uvat,59.14,68.9,65.68,86,15,6.4,RU,1597077172
ramsar,36.92,50.64,80.6,83,75,2.24,IR,1597077173
sugod,12.99,124.08,81.12,80,87,2.19,PH,1597077173
rio gallegos,-51.62,-69.22,35.6,64,40,23.04,AR,1597077052
namibe,-15.2,12.15,64.78,77,14,7.09,AO,1597077173
ziarat,30.38,67.73,68.63,73,12,5.44,PK,1597077173
nouakchott,18.09,-15.98,84.2,66,40,14.99,MR,1597077173
rabo de peixe,37.8,-25.58,73.4,83,40,8.05,PT,1597077173
darhan,49.49,105.92,57.49,79,5,2.46,MN,1597077173
high level,58.52,-117.14,59.0,72,75,4.7,CA,1597077173
kulhudhuffushi,6.62,73.07,82.6,77,48,15.55,MV,1597077065
codrington,-38.27,141.97,44.06,84,90,10.96,AU,1597077173
miranda,3.25,-76.23,84.2,58,20,2.24,CO,1597077173
kutum,14.2,24.67,73.22,65,99,5.88,SD,1597077173
taoudenni,22.68,-3.98,109.71,8,0,22.95,ML,1597077173
manyana,-23.4,21.72,60.04,32,0,4.18,BW,1597077173
jertih,5.73,102.49,78.8,88,40,3.36,MY,1597077173
tuktoyaktuk,69.45,-133.04,46.4,81,75,8.05,CA,1597077173
seoul,37.57,126.98,77.0,100,90,5.73,KR,1597077158
pocri,8.27,-80.55,84.2,79,40,4.7,PA,1597077174
along,28.17,94.77,75.04,90,100,1.77,IN,1597077174
sabzevar,36.21,57.68,86.95,19,0,13.31,IR,1597077174
nikolskoye,59.7,30.79,68.0,45,40,15.66,RU,1597077174
ruwi,23.6,58.55,89.6,79,40,5.82,OM,1597077174
ballina,-28.87,153.57,57.2,58,40,11.41,AU,1597077174
arraial do cabo,-22.97,-42.03,82.4,48,0,16.11,BR,1597077046
pangnirtung,66.15,-65.71,46.4,75,90,4.7,CA,1597077110
abu kamal,34.45,40.92,88.83,25,0,6.64,SY,1597077174
vilhena,-12.74,-60.15,84.2,39,0,10.29,BR,1597077174
najran,17.49,44.13,95.0,16,40,9.17,SA,1597077174
zemio,5.03,25.14,72.82,93,98,1.12,CF,1597077174
leningradskiy,69.38,178.42,42.46,81,100,9.26,RU,1597077174
burnie,-41.07,145.92,42.01,88,2,1.99,AU,1597077174
bathsheba,13.22,-59.52,87.8,70,40,17.22,BB,1597077174
oranjestad,12.52,-70.03,89.6,66,40,19.46,AW,1597077004
ostrovnoy,68.05,39.51,49.75,81,99,10.71,RU,1597077174
eppelborn,49.4,6.97,93.99,30,90,1.01,DE,1597077174
okhotsk,59.38,143.3,56.59,89,80,6.69,RU,1597077124
egvekinot,66.32,-179.17,45.18,98,81,1.52,RU,1597077174
bathurst,-33.42,149.58,39.99,88,67,21.99,AU,1597077092
mudgee,-32.59,149.59,42.8,100,90,4.7,AU,1597077175
nome,64.5,-165.41,35.6,80,1,3.36,US,1597076900
nabire,-3.37,135.48,76.06,88,96,3.49,ID,1597077175
sapa,5.15,120.32,82.51,83,45,8.84,PH,1597077175
ordzhonikidze,52.44,61.74,62.13,82,4,4.03,KZ,1597077175
santa maria da vitoria,-13.39,-44.19,92.62,20,0,4.16,BR,1597077175
bambous virieux,-20.34,57.76,68.0,68,40,9.17,MU,1597077054
presidencia roque saenz pena,-26.79,-60.44,93.02,22,39,11.48,AR,1597077175
newcastle,-32.93,151.78,51.8,100,40,11.41,AU,1597077145
hobyo,5.35,48.53,75.7,73,34,29.66,SO,1597077175
tual,-5.67,132.75,78.46,85,21,15.28,ID,1597077175
taloc,10.57,122.9,80.26,79,100,2.66,PH,1597077175
silistea,44.38,25.35,86.0,39,50,7.0,RO,1597077175
la libertad,-2.23,-80.9,68.0,82,90,5.82,EC,1597077175
flin flon,54.77,-101.86,62.6,72,90,19.46,CA,1597077175
pokhara,28.23,83.98,73.4,78,100,2.28,NP,1597077175
tambovka,50.1,128.05,62.6,93,20,6.71,RU,1597077176
rudnichnyy,59.62,52.47,53.55,77,47,6.13,RU,1597077176
luderitz,-26.65,15.16,62.6,63,0,17.22,NA,1597077047
guerrero negro,27.98,-114.06,79.93,48,0,10.42,MX,1597077176
oktyabrskiy,54.48,53.47,58.64,74,100,8.12,RU,1597077108
grindavik,63.84,-22.43,51.8,100,75,26.4,IS,1597076944
dwarka,22.24,68.97,83.77,83,83,19.08,IN,1597077176
kavieng,-2.57,150.8,81.45,72,54,2.59,PG,1597077053
port elizabeth,-33.92,25.57,57.2,71,0,8.05,ZA,1597077055
somerset,40.57,-74.55,91.99,58,1,5.26,US,1597077176
olafsvik,64.89,-23.71,51.53,94,100,21.81,IS,1597077176
victoria,22.29,114.16,86.0,80,100,10.49,HK,1597077176
